1996  09  03	 5.584324	 6.472280	 7.581466
1996  09  04	 5.475147	 6.572436	 7.597469
1996  09  05	 5.503791	 6.440277	 7.593247
1996  09  06	 5.429488	 6.443344	 7.233555
1996  09  09	 5.440455	 6.440123	 7.284047
1996  09  10	 5.423520	 6.466347	 7.200291
1996  09  11	 5.429975	 6.566028	 7.197229
1996  09  12	 5.512019	 6.409335	 7.150969
1996  09  13	 5.520812	 6.333557	 6.971595
1996  09  16	 5.329109	 6.208544	 7.049308
1996  09  17	 5.493729	 6.422432	 7.106730
1996  09  18	 5.527971	 6.389716	 6.981121
1996  09  19	 5.516852	 6.368087	 7.082114
1996  09  20	 5.410505	 6.353168	 7.011568
1996  09  23	 5.398887	 6.353475	 7.139553
1996  09  24	 5.525350	 6.283143	 6.977560
1996  09  25	 5.220695	 6.306443	 6.940363
1996  09  26	 5.179604	 6.267128	 6.906913
1996  09  27	 5.183502	 6.267361	 6.987937
1996  09  30	 5.216557	 6.159059	 6.987085
1996  10  01	 5.157143	 5.999535	 6.943804
1996  10  02	 5.160012	 6.118096	 6.941538
1996  10  03	 5.160731	 6.121247	 6.950985
1996  10  04	 5.024822	 5.857754	 6.763254
1996  10  07	 5.132469	 5.978944	 6.720340
1996  10  08	 5.065914	 5.945415	 6.804676
1996  10  09	 5.125139	 6.019349	 6.932845
1996  10  10	 5.208551	 6.066272	 6.946189
1996  10  11	 5.114020	 5.967036	 6.914992
1996  10  14	 5.111720	 5.972865	 6.933023
1996  10  15	 5.135870	 6.031164	 6.950385
1996  10  16	 5.139183	 6.048011	 6.991581
1996  10  17	 5.121072	 5.878267	 6.806621
1996  10  18	 5.120512	 5.805426	 6.795804
1996  10  21	 5.223933	 5.974367	 6.808231
1996  10  22	 5.223277	 5.979769	 6.928442
1996  10  23	 5.111746	 6.011106	 6.989653
1996  10  24	 5.115300	 6.024730	 6.988652
1996  10  25	 5.112602	 5.906355	 7.006249
1996  10  28	 5.122791	 5.888935	 6.865261
1996  10  29	 5.018547	 5.833550	 6.808291
1996  10  30	 5.048667	 5.869051	 6.878882
1996  10  31	 5.039202	 5.851644	 6.858010
1996  11  01	 5.053987	 5.841149	 6.849453
1996  11  04	 5.050726	 5.849926	 6.847132
1996  11  05	 4.993656	 5.799851	 6.747781
1996  11  06	 5.051364	 5.832471	 6.778332
1996  11  07	 5.011897	 5.771899	 6.742099
1996  11  08	 5.048899	 5.777123	 6.712285
1996  11  11	 5.049185	 5.785072	 6.732332
1996  11  12	 5.026881	 5.719583	 6.729920
1996  11  13	 4.995936	 5.682654	 6.742405
1996  11  14	 4.875305	 5.739128	 6.715628
1996  11  15	 4.784034	 5.749735	 6.671085
1996  11  18	 4.859651	 5.774360	 6.650408
1996  11  19	 4.764213	 5.755826	 6.732914
1996  11  20	 4.824799	 5.633238	 6.674695
1996  11  21	 4.752231	 5.804475	 6.650566
1996  11  22	 4.743159	 5.794237	 6.705764
1996  11  25	 4.734873	 5.831822	 6.699819
1996  11  26	 4.728451	 5.776420	 6.741630
1996  11  27	 4.725363	 5.828492	 6.682062
1996  11  28	 NaN	 NaN	 NaN
1996  11  29	 4.740793	 5.766953	 6.530890
1996  12  02	 4.734355	 5.774233	 6.535353
1996  12  03	 4.765922	 5.657455	 6.789018
1996  12  04	 4.873643	 5.751334	 6.783436
1996  12  05	 4.940869	 5.797715	 6.704624
1996  12  06	 4.910244	 5.808324	 6.843535
1996  12  09	 5.042187	 5.850355	 6.775058
1996  12  10	 5.065671	 5.855712	 6.683556
